Country Name,Country Code,Access to clean fuels and technologies for cooking (% of population),"Access to clean fuels and technologies for cooking, rural (% of rural population)","Access to clean fuels and technologies for cooking, urban (% of urban population)",Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Adequacy of social insurance programs (% of total welfare of beneficiary households),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),Adequacy of social safety net programs (% of total welfare of beneficiary households),Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),Adjusted net national income per capita (current US$),Adjusted savings: education expenditure (current US$),"Adolescent fertility rate (births per 1,000 women ages 15-19)",Adolescents out of school (% of lower secondary school age),"Adolescents out of school, female (% of female lower secondary school age)","Adolescents out of school, male (% of male lower secondary school age)",Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)","Birth rate, crude (per 1,000 people)",Births attended by skilled health staff (% of total),"Children in employment, study and work (% of children in employment, ages 7-14)","Children in employment, total (% of children ages 7-14)","Children in employment, work only (% of children in employment, ages 7-14)",Children out of school (% of primary school age),"Children out of school, female (% of female primary school age)","Children out of school, male (% of male primary school age)","Children out of school, primary","Children out of school, primary, female","Children out of school, primary, male","Community health workers (per 1,000 people)",Compensation of employees (% of expense),Compensation of employees (current LCU),"Compulsory education, duration (years)",Control of Corruption: Estimate,Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Expenditure on primary education (% of government expenditure on education),Expenditure on secondary education (% of government expenditure on education),Expenditure on tertiary education (% of government expenditure on education),"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth (ages 15-24), gender parity index (GPI)","Literacy rate, youth female (% of females ages 15-24)","Literacy rate, youth male (% of males ages 15-24)","Literacy rate, youth total (% of people ages 15-24)",Multidimensional poverty headcount ratio (World Bank) (% of population),Multilateral debt service (% of public and publicly guaranteed debt service),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),People using safely managed drinking water services (% of population),Political Stability and Absence of Violence/Terrorism: Estimate,Pregnant women receiving prenatal care (%),Proportion of people living below 50 percent of median income (%),"School enrollment, primary (gross), gender parity index (GPI)","School enrollment, secondary (gross), gender parity index (GPI)","School enrollment, tertiary (gross), gender parity index (GPI)",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),Terms of trade adjustment (constant LCU),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Unemployment with advanced education (% of total labor force with advanced education),Unemployment with basic education (% of total labor force with basic education),Unemployment with intermediate education (% of total labor force with intermediate education),"Unemployment, total (% of total labor force) (national estimate)",Urban population (% of total population),"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",Wanted fertility rate (births per woman),Women who were first married by age 15 (% of women ages 20-24),Women who were first married by age 18 (% of women ages 20-24),Composite Index,Rank
Equatorial Guinea,GNQ,-3563424924.3885155,-3563424941.2947655,-3563424915.7635155,-3563424882.523932,-3563424931.6155987,-3563424857.0489326,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,3765815192.1625752,2915320666.9663615,-3563424787.1880155,9433856870.314997,11780614209.932703,11780614209.394688,74.7775868775,5.58071547475,69.19687140333333,-3563424910.251057,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,32200884436.554234,32200884437.057938,32200884436.048447,32200912998.42897,32200898631.42897,32200898781.09564,33968147167.149223,-1456533075.1515162,85000237518.11818,5.708333333333333,-2879550211.9573135,2839415536.7683086,2839415713.588795,-3563424941.0126443,-3563424933.607668,-3563424936.7276998,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-2877346213.7682605,18800532723.58787,18800532726.100754,-2750398410.421551,-2879550210.709234,24130415469.000496,7154729322.57531,31848552253.14709,14487319854.167421,7317391794.169072,22143202162.532925,-369248515368.361,7508025427.37209,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,65.148125,-3563424935.9846873,-3563424926.5904794,-3563424930.546499,22863314617.534653,24892153482.812508,24892153489.537506,4.977452423495543,11.0
Zambia,ZMB,-3563424932.1239324,-3563424943.5364323,-3563424913.971849,-3563424917.2905993,-3563424938.157265,-3563424886.7405987,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839416292.9507365,3274880262.9801106,-3563424816.8993907,9433856870.314997,11780614209.932703,11780614209.394688,91.81391848666665,3.5128466170416655,88.30107187083333,-3563424906.7917657,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,26811959539.334103,27279394429.71196,27279394429.29179,26812146836.070713,27279487821.940434,27279482377.02377,33968147167.149223,3667578176.3930225,13310896205.702055,7.0,-2879550211.17067,2839415539.545992,2839415585.5501666,-3563424944.9823327,-3563424944.2596087,-3563424944.589127,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424916.313724,-3563424889.447729,-3563424917.771181,-2750398410.421551,-2879550210.4797473,24130415469.000496,7154729322.57531,18985624797.811794,14487319854.167421,7317391794.169072,22143202162.532925,35962164993.738266,7508025423.015007,5150089740.478618,4903608270.691173,5135914276.179225,9259565168.858957,40.238208333333326,-3563424934.4392743,-3563424917.726803,-3563424925.3609223,22863314617.534653,24892153482.812508,24892153489.537506,4.816757059164709,12.0
Syrian Arab Republic,SYR,-3563424852.840599,-3563424853.469765,-3563424850.1197658,-3563424858.440599,-3563424868.4739323,-3563424849.8614326,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,7508028769.469737,9408970660.002508,-3563424900.542391,19017669984.53097,19017669985.703876,19017669983.406986,70.66404000125,6.532175552083334,64.13186444958335,-3563424920.890599,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,20648072913.64716,12928341250.26005,12928341249.689735,20648275815.799023,12805986176.538532,12805972596.89003,33968147167.149223,2942913802.3481135,1780966706932.684,8.75,-2879550211.828447,32457546985.341904,32457547020.523495,-3563424944.408975,-3563424940.0305657,-3563424940.707781,25352810712.96977,25485332453.60962,38727439756.785545,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,23832724397.91315,-3563424856.468485,-3563424857.9297194,-2750398410.421551,-2879550212.139658,24130415469.000496,7154729322.57531,30400308419.115505,30400308419.11951,24086011026.280758,22143202162.532925,36659862755.27886,7508025420.620091,5150089740.478618,4903608270.691173,5135914276.179225,37419066029.33341,54.041125,-3563424872.8306165,-3563424892.1040673,-3563424889.1969967,22863314617.534653,24892153482.812508,24892153489.537506,4.736641322953345,13.0
Vanuatu,VUT,-3563424934.7176824,-3563424942.8343487,-3563424910.059349,-3563424903.5989323,-3563424916.465599,-3563424862.6614323,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839417569.1222005,2863741776.621777,-3563424878.3669324,23672555836.154343,23672555837.001553,23672555835.349545,78.14371173166664,6.577451320000001,71.56626041083334,-3563424914.8938904,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,19645849363.529984,19645849363.57967,19645849363.48318,19645850637.080357,19645849989.580357,19645850007.830357,33968147167.149223,7044145249.943912,12713159962.924597,687309313.2447337,-2879550210.5583935,2839415538.165776,2839415613.9073024,-3563424944.527874,-3563424943.4471545,-3563424943.913363,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424890.274052,-3563424862.356388,-3563424895.6098084,-2750398410.421551,-2879550209.772761,24130415469.000496,7154729322.57531,10104507299.864222,33559966183.073093,7317391794.169072,22143202162.532925,-961380127.3038708,7508025421.3387575,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,24.240916666666667,-3563424920.7741857,-3563424912.6951523,-3563424916.171736,22863314617.534653,24892153482.812508,24892153489.537506,4.484867917183799,14.0
Botswana,BWA,-3563424890.3739324,-3563424920.4780993,-3563424867.886432,-3563424896.1030993,-3563424924.278099,-3563424880.586432,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839419377.0585704,3802498026.595528,-3563424893.3582654,9433856870.314997,11780614209.932703,11780614209.394688,62.34387121208334,5.3528338745,56.991037337499996,-3563424919.667765,18800532753.12057,32255922497.50681,32255922467.409855,32255922467.58057,26080369203.140774,26080369202.404495,26080369203.861324,26080400221.5446,26080383363.83627,26080386051.2946,38045365363.51733,-1456533058.3156931,11184068098.868177,687309313.2447337,-2879550209.8881907,2839415540.494717,2839415845.3864055,-3563424943.861067,-3563424942.000658,-3563424942.8328843,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424874.1165543,-3563424865.144272,-3563424880.5714164,-2750398410.421551,-2879550209.7365594,24130415469.000496,7154729322.57531,17246711688.29894,33614903313.536808,15556329214.85729,22143202162.532925,-19859393909.666668,7508025426.48334,24502973049.42784,24502973052.82613,5135914276.179225,22805843595.511715,63.205833333333324,-3563424878.283694,-3563424876.364456,-3563424877.20604,22863314617.534653,24892153482.812508,24892153489.537506,4.4102281625571775,15.0
Ethiopia,ETH,-3563424942.265599,-3563424945.157265,-3563424933.117682,-3563424917.7489324,-2697786248.123699,-3563424862.6780987,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839415849.658369,4104444940.945528,-3563424848.6312656,21343160694.992115,21343160698.878128,21343160691.26012,88.46934610250001,5.382844071625001,83.08650203333333,-3563424910.119557,28228085664.10586,32255922497.50681,32255922467.409855,32255922467.58057,16674550801.09406,16674550803.080927,16674550799.177673,16677894795.05137,16676328151.134705,16676117437.009705,33968147167.149223,-2735262325.9248157,11115901347.857595,8.0,-2879550211.2271066,2839415538.7618184,2839415549.671124,-3563424945.3490396,-3563424944.7899475,-3563424945.0424294,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424913.9864497,-3563424911.6672077,-3563424939.6201625,-3563424937.3378644,-2879550212.1063266,24130415469.000496,7154729322.57531,2839415535.7107654,25688762577.866837,16687415704.931221,22143202162.532925,6070185184.6849985,7508025421.697925,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,18.28333333333333,-3563424936.846267,-3563424932.8911376,-3563424934.6887684,22863314617.534653,24892153482.812508,24892153489.537506,4.364938401390951,16.0
Liberia,LBR,-3563424945.073932,-3563424945.3822656,-3563424944.9114323,-448884229.6059844,1377872963.0205529,-448884222.8559863,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839415780.749979,2906033082.0342784,-3563424811.6464324,9433856870.314997,11780614209.932703,11780614209.394688,84.41328768791665,6.288481672208334,78.12480601624999,-3563424909.761141,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,8862058014.252947,12928341250.26005,12928341249.689735,8648450301.955097,12805986176.538532,12805972596.89003,33968147167.149223,32891436344.667545,32924838771.12991,1693801293.1192608,-2879550211.445539,2839415542.3717937,2839415576.2475224,-3563424944.3362007,-3563424943.376019,-3563424943.836342,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-1990629132.3048537,-3563424878.8215904,-3563424929.507114,-2750398410.421551,-2879550211.486109,24130415469.000496,7154729322.57531,22212927024.57371,14487319854.167421,7317391794.169072,22143202162.532925,624846228706.2396,7508025423.420423,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,48.608833333333344,-3563424936.965859,-3563424916.667406,-3563424926.397776,22863314617.534653,24892153482.812508,24892153489.537506,4.331427952228937,17.0
Paraguay,PRY,-3563424889.344765,-3563424917.4676824,-3563424870.730182,-3563424852.7447658,-3563424855.6947656,-3563424850.565599,10622566145.331491,10622566141.149809,11245320225.19522,18216567501.18736,2839418897.650675,3693850465.878861,-3563424873.4016404,15224857304.054014,17369102763.152565,17369102762.844395,61.79883799208333,8.437788147375,53.36104984499999,-3563424923.4956403,11382638530.43202,32255922497.50681,32255922467.409855,32255922467.58057,14396694693.421946,17326143281.736248,17326143281.95889,14396717126.091476,17326153099.20102,17326154439.117687,33968147167.149223,-1808865208.1720755,9339386968082.729,11.166666666666666,-2879550211.622107,2839415540.410396,2839415782.011749,-3563424942.7973747,-3563424939.041609,-3563424940.5160565,31906742225.768436,31906742221.439907,31906742216.788265,16157119703.924688,16157119704.631536,16157119704.274124,-2735262338.1807837,-2735262248.933239,-2735262249.259071,-2735262249.100737,1377872961.6288865,-3563424893.1725907,-3563424858.9681554,-3563424865.9794364,-3563424889.582958,-2879550211.1098733,24130415469.000496,-2735262320.525738,25688762578.01503,32457546983.774918,37370553818.965294,22143202162.532925,606205103022.875,7508025425.070007,19628695288.45593,19628695290.097385,19628695291.786808,5.839125,59.59233333333333,-3563424896.4934106,-3563424895.6718516,-3563424896.005297,22863314617.534653,24892153482.812508,24892153489.537506,4.048835247547782,18.0
Timor-Leste,TLS,-3563424939.0176826,-3563424943.378099,-3563424929.9905987,-3563424891.9989324,-3563424903.140599,-3563424861.898932,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,17338740123.836235,2889436440.5856113,-3563424901.963974,11245320226.695267,11245320225.878962,11245320227.456627,80.90992938708332,8.284863467791668,72.62506591875002,-3563424915.475057,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,11245320221.791933,11245320220.60264,11245320222.90013,11245326599.941023,11245322217.107689,11245324601.149355,33968147167.149223,1377872969.525338,1478497774.3330524,8.0,-2051387604.693804,4533216828.202208,4533216876.511999,-3563424944.2462425,-3563424944.1653214,-3563424944.201593,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,6467270999.654246,-2051387544.3935392,-2051387562.9276702,-2750398410.421551,-2879550210.9138417,24130415469.000496,7154729322.57531,11017321767.934607,11017321767.98192,7317391794.169072,22143202162.532925,-3536221614.9769235,7508025420.314923,21639032263.85292,21639032263.145874,21639032264.402542,21639032262.95767,28.302000000000003,-3563424926.1607804,-3563424910.7594666,-3563424917.663798,22863314617.534653,24892153482.812508,24892153489.537506,3.818042112633418,19.0
Malawi,MWI,-3563424943.5385156,-3563424945.001015,-3563424936.1114326,-3563424936.765599,-2555776092.5230956,-3563424907.9322658,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839415829.7679095,3093860998.2996945,-3563424811.824266,18614321455.98044,18796085403.713135,18796085400.5536,95.69935499458332,6.901320403833334,88.79803459291666,-3563424907.688515,29005310352.532383,32255922497.50681,32255922467.409855,32255922467.58057,8862058014.252947,12928341250.26005,12928341249.689735,8648450301.955097,12805986176.538532,12805972596.89003,33968147167.149223,641304760.030489,153358229638.7593,8.0,-2879550211.2336965,2839415540.050999,2839415561.839468,-3563424944.8320584,-3563424944.1058674,-3563424944.463087,27962387606.67854,27962387599.54289,28147479715.32451,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424886.093801,-3563424885.2349105,-3563424920.60747,-3563424934.193081,-2879550210.736955,23555058793.395493,7154729322.57531,11567730572.5091,11567730572.383062,11129387784.932478,22143202162.532925,624846228706.2396,7508025422.877507,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,16.011375,-3563424915.537386,-3563424905.10134,-3563424910.2386475,22863314617.534653,24892153482.812508,24892153489.537506,3.784108463937253,20.0
Eritrea,ERI,-3563424938.003099,-3563424944.832266,-3563424927.4239326,-3563424905.8614326,-3563424924.1780987,-3563424871.457266,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,34601792623.702446,34613225415.57237,-3563424874.144016,14497427377.068161,14497427382.85147,14497427371.321077,84.81014017291669,6.666064486041667,78.14407568624999,-3563424913.9216404,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,14497427376.989035,14497427380.473524,14497427373.540558,14497551677.538916,14497496172.122248,14497482852.622248,33968147167.149223,2942913802.3481135,1780966706932.684,4941297910.0403185,-2879550211.3341584,2839415539.728754,2839415555.9080234,-3563424944.39933,-3563424942.935066,-3563424943.6232743,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424904.2173157,22573973719.35059,22573973691.84628,-2750398410.421551,-2879550211.388002,24130415469.000496,7154729322.57531,11382638454.943335,14497427347.796892,31171832345.947544,22143202162.532925,34514639763.10841,7508025421.108757,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,35.622083333333336,-3563424930.0343614,-3563424909.9590015,-3563424919.402122,22863314617.534653,24892153482.812508,24892153489.537506,3.7834589816783994,21.0
Sudan,SDN,-3563424911.221849,-3563424918.448932,-3563424894.9468493,-3563424906.5489326,-3563424921.023932,-3563424878.003099,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,8964754122.744532,3801999972.4246945,-3563424855.8560157,9433856870.314997,11780614209.932703,11780614209.394688,82.20943111625,4.965948012250001,77.24348310333335,-3563424910.7985573,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,21182350693.83693,21182350693.684277,21182350693.985874,21183117163.16357,21182724976.66357,21182742867.330235,33968147167.149223,2942913802.3481135,1780966706932.684,1754559700.8473532,-2879550211.9020653,2839415539.3407497,2839415587.68754,-3563424945.0323663,-3563424943.380068,-3563424943.80382,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424917.537924,-3563424894.6988597,7508025444.891749,-2750398410.421551,-2879550212.62908,24130415469.000496,7154729322.57531,15885175369.703917,15885175369.736326,25688762578.130035,22143202162.532925,1317478393.379167,7508025420.003383,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,33.720875,-3563424917.9463487,-3563424905.233704,-3563424908.542541,22863314617.534653,24892153482.812508,24892153489.537506,3.6839498065247236,22.0
Chad,TCD,-3563424941.667682,-3563424944.813515,-3563424931.3697658,-3563424938.644766,-13384345.55768776,-3563424921.9780993,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839415967.486008,2964451761.2388616,-3563424779.4035153,19519551537.855515,19519551541.799652,19519551533.99423,102.60201635124997,4.592412159208333,98.00960419,-3563424899.8581824,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,9298359957.651583,9298359962.44932,9298359952.972872,9298746135.262514,9298603557.804182,9298502517.304182,33968147167.149223,2942913802.3481135,1780966706932.684,9.0,-2879550211.9727902,2839415539.31799,2839415563.8928037,-3563424945.2499237,-3563424944.4291787,-3563424944.7727513,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424895.698258,-3563424902.0877852,-3563424935.002945,-3563424939.9246783,-2879550211.989723,24130415469.000496,7154729322.57531,6714028569.811801,6714028569.551877,27827800455.607296,22143202162.532925,-157986310814.692,7508025423.107923,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,22.448708333333332,-3563424943.294985,-3563424934.243653,-3563424938.069879,22863314617.534653,24892153482.812508,24892153489.537506,3.683744558159913,23.0
South Sudan,SSD,-3563424945.465599,-3563424945.515599,-3563424945.465599,-448884236.4684842,1377872961.5372193,-3563424935.1114326,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,3896175210.5365634,17304734644.82691,-3563424835.8132243,9433856870.314997,11780614209.932703,11780614209.394688,90.45482801375,4.912474236458334,85.54235377708333,-3563424908.0335574,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,8862058014.252947,12928341250.26005,12928341249.689735,8648450301.955097,12805986176.538532,12805972596.89003,33968147167.149223,2942913802.3481135,1780966706932.684,3737294803.6760144,1377872958.9779415,2580611835.775346,2608402107.9847126,-3563424944.6899753,-3563424942.2473845,-3563424943.475582,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-2877346213.7682605,2561912993.2531667,2561912978.8337245,-2750398410.421551,2561912971.6137166,24130415469.000496,7154729322.57531,10539279015.629528,14487319854.167421,7317391794.169072,22143202162.532925,31224385292.955868,7508025424.742319,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,18.401500000000002,-3563424943.6171536,-3563424933.113443,-3563424938.3974347,22863314617.534653,24892153482.812508,24892153489.537506,3.572946474499871,24.0
Rwanda,RWA,-3563424944.198932,-3563424945.261432,-3563424939.9864326,-3563424925.8697658,-1869623645.9963386,-3563424886.9739323,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839415950.1116786,3027152618.097611,-3563424908.0466404,9433856870.314997,11780614209.932703,11780614209.394688,81.08823917708332,5.398053427791667,75.69018575,-3563424912.0486827,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,8862058014.252947,12928341250.26005,12928341249.689735,8648450301.955097,12805986176.538532,12805972596.89003,33968147167.149223,2942913802.3481135,1780966706932.684,6.0,-2879550210.503299,2839415541.119782,2839415570.58662,-3563424945.4993844,-3563424945.4812374,-3563424945.4896855,24449881978.152344,24449881976.937183,27564670863.780334,17302160156.294125,17302160158.26914,17302160157.280727,21391188833.60964,21391188861.13239,21391188860.768894,21391188860.95892,8120556991.115447,-3563424889.36272,-3563424892.955702,-3563424887.818426,-2750398410.421551,-2879550211.0637517,26074804160.033535,7154729322.57531,6714028570.065814,6714028570.061473,-285092344.7282524,27835916651.983597,-112536894903.5,7508025421.255841,17317787328.951984,17317787326.869774,17317787330.1934,17136023380.644157,16.958333333333332,-3563424933.4236026,-3563424913.7386937,-3563424922.9048095,22863314617.534653,24892153482.812508,24892153489.537506,3.4361967588130917,25.0
Solomon Islands,SLB,-3563424937.484349,-3563424943.5364323,-3563424910.551016,-3563424908.140599,-1428633480.4624693,-3563424881.1155987,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839416926.6135144,2919663978.5542774,-3563424882.993641,9433856870.314997,11780614209.932703,11780614209.394688,79.79785571708332,6.149862970999998,73.64799274541666,-3563424913.9241405,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,26318829155.90479,12928341250.26005,12928341249.689735,26318832172.4061,12805986176.538532,12805972596.89003,33968147167.149223,2561912990.5845494,3141910615.6527333,687309313.2447337,-2879550210.814398,2839415540.2261715,2839415614.623093,-3563424945.155372,-3563424944.017987,-3563424944.567187,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424880.483907,2839415601.949532,2839415560.1278462,-2750398410.421551,-2879550210.4615827,24130415469.000496,7154729322.57531,13331274703.795067,33722308497.61704,7317391794.169072,22143202162.532925,-3390296109.6025577,7508025420.925426,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,20.801625,-3563424926.139668,-3563424910.6835694,-3563424918.147309,22863314617.534653,24892153482.812508,24892153489.537506,3.3335575035588727,26.0
Angola,AGO,-3563424902.1030993,-3563424938.261432,-3563424870.8426824,-3563424910.761432,33047683412.886967,-3563424886.2947655,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839416941.895885,4711558227.066361,-3563424793.8128905,9433856870.314997,11780614209.932703,11780614209.394688,93.32950772333335,4.962722183791668,88.36678554041667,-3563424903.5424743,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,8862058014.252947,12928341250.26005,12928341249.689735,8648450301.955097,12805986176.538532,12805972596.89003,33968147167.149223,11382638486.040491,654063260829.9028,5.416666666666667,-2879550211.8123226,2839415537.6361675,2839415610.9408016,-3563424943.276139,-3563424941.2811437,-3563424942.265018,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424944.5936847,-3563424896.9049206,-3563424905.514995,-2750398410.421551,-2879550211.263941,24130415469.000496,7154729322.57531,25592273464.117752,33530497060.118423,22066939764.375473,22143202162.532925,-8097548326.746602,7508025426.032506,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,60.47454166666666,-3563424926.645048,-3563424906.7377934,-3563424916.5569854,22863314617.534653,24892153482.812508,24892153489.537506,3.2631760864532966,27.0
Mozambique,MOZ,-3563424942.190599,-3563424945.082266,-3563424936.4905987,-3563424927.082266,-1869623655.121338,-3563424895.7322655,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839415892.5490384,3350002207.883028,-3563424785.022016,15596401208.54334,15596401213.440157,15596401203.615835,89.92502063249998,5.049387526916665,84.875633105,-3563424906.871599,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,1290277068.4747493,15242104893.912802,15242104888.93866,1290726837.3247814,15242378299.745306,15242273255.620306,33968147167.149223,8146657387.599187,47572661719.42926,687309313.2447337,-2879550211.2721753,2839415539.915425,2839415560.005831,-3563424944.2802777,-3563424941.226422,-3563424942.8445554,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424902.316866,-3563424905.524843,-3563424923.4360785,-2750398410.421551,-2879550210.8888,24130415469.000496,7154729322.57531,7693117538.1764555,7693117538.12043,11382638454.757896,22143202162.532925,-1643523804.0135162,7508025421.201673,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,33.04920833333333,-3563424941.03092,-3563424926.5067387,-3563424934.119699,22863314617.534653,24892153482.812508,24892153489.537506,3.2517370710164784,28.0
Madagascar,MDG,-3563424944.461432,-3563424944.9364324,-3563424943.086432,-3563424925.2989326,12217936288.07516,-3563424888.190599,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839415865.819222,3043536190.948445,-3563424816.1985574,7655542684.759496,7655542684.535716,7655542684.979988,83.09233147541667,5.322487323333333,77.76984415208334,-3563424911.7824326,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,17717066489.343548,12928341250.26005,12928341249.689735,17717228729.299633,12805986176.538532,12805972596.89003,33968147167.149223,-1869623617.206536,1220692084675.6663,5.0,-2879550211.2246056,2839415538.9909787,2839415552.35379,-3563424943.917498,-3563424941.5366445,-3563424942.69052,25352810712.96977,25485332453.60962,26392852835.12541,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424889.3641067,-3563424902.4073424,-3563424936.771831,-3563424931.7194247,-2879550210.972011,25702576015.885586,7154729322.57531,11382638455.053019,16378476727.201513,-3563424944.647251,22143202162.532925,192724489593.0,7508025420.88959,5150089740.478618,4903608270.691173,5135914276.179225,28592591353.35458,33.14725,-3563424936.336881,-3563424929.8767357,-3563424933.0024204,22863314617.534653,24892153482.812508,24892153489.537506,3.2392426189118435,29.0
